;H2;H3;H1;L4;L2;L3
gb|CDO61516.1|ARO:3003949|efrB;0;0;1;0;0;0
gb|AAC76539.1|ARO:3000796|mdtF;0;0;0;139;3;0
gb|AAC76093.1|ARO:3002986|bacA;0;0;0;37;0;0
gb|CAC14595.1|ARO:3003056|smeE;0;0;0;1;0;0
gb|BAE78082.1|ARO:3003550|mdtP;0;0;0;77;2;0
gb|NP_416292.1|ARO:3002818|msrB;1;0;0;12;0;0
gb|AFU35065.1|ARO:3003206|lsaE;0;0;1;0;0;0
gb|AML99881.1|ARO:3001327|mdtK;0;0;0;4;0;0
gb|CAC41008.1|ARO:3004041|Klebsiella;0;0;0;1;0;0
gb|ACL82957.1|ARO:3002928|vanRM;0;1;0;0;0;0
gb|AAB05628.1|ARO:3002950|vanXB;0;1;0;0;0;0
gb|ACA23185.1|ARO:3000194|tetW;1;0;0;0;0;0
gb|ABF66027.1|ARO:3002882|lmrD;0;0;0;0;1;0
gb|AAA65956.1|ARO:3000010|vanA;0;0;1;0;0;0
gb|CCE36834|ARO:3003784|Mycobacterium;1;10;22;2;1;0
gb|NP_460903.1|ARO:3000826|sdiA;0;0;0;2;0;0
gb|YP_489321.1|ARO:3001329|mdtG;0;0;0;26;0;0
gb|AAC75089.1|ARO:3003577|pmrE;9;0;7;29;2;0
gb|AAC75136.1|ARO:3000793|mdtB;0;0;1;94;2;0
gb|APB03214.1|ARO:3003980|tetA(48);2;7;6;1;0;0
gb|AAD09860.1|ARO:3000561|tet(30);0;2;2;0;0;0
gb|YP_490321.1|ARO:3000828|baeR;0;0;0;19;0;0
gb|NP_251184.1|ARO:3000804|MexF;0;1;0;0;0;0
gb|AAG03380.1|ARO:3002703|cmx;0;1;0;0;0;0
gb|NP_417544.5|ARO:3000024|patA;0;0;0;64;0;0
gb|AAC76298.1|ARO:3000502|acrF;0;0;0;143;2;0
gb|AFK13827.1|ARO:3004108|Enterobacter;0;0;0;2;0;0
gb|NP_309766.1|ARO:3000676|H-NS;0;0;0;3;0;0
gb|BAA11236.1|ARO:3000206|emrK;0;0;0;13;0;0
gb|CAA09666|ARO:3004122|Klebsiella;0;0;0;3;0;0
gb|CAA76382.1|ARO:3002023|CMY-12;0;0;0;0;1;0
gb|ADT91162.1|ARO:3002067|CMY-56;0;0;0;0;1;0
gb|AAO16462.1|ARO:3000167|tet(C);0;0;0;1;0;0
gb|AAA26793|ARO:3003748|oleC;0;0;1;0;0;0
gb|CAA03986.1|ARO:3000343|tap;1;2;4;0;0;0
gb|BAE78116.1|ARO:3003576|PmrC;0;0;0;101;2;0
gb|NP_312864.1|ARO:3000830|cpxA;0;0;0;75;4;0
gb|ABA42119.1|ARO:3000865|oleD;1;0;0;0;0;0
gb|AAF61417.1|ARO:3002244|CARB-5;0;0;0;1;0;0
gb|AFH35853.1|ARO:3001328|Escherichia;0;0;0;30;1;0
gb|ADV91011.1|ARO:3000245|RbpA;0;8;11;0;0;0
gb|AAR84672.1|ARO:3002925|vanRF;0;0;2;0;0;0
gb|BAA11237.1|ARO:3000254|emrY;0;0;0;30;1;0
gb|AAY32951.1|ARO:3002837|lnuC;0;1;0;0;37;0
gb|YP_186749.1|ARO:3000489|sav1866;3;0;3;0;0;0
gb|AAB41059.1|ARO:3002884|iri;0;2;0;0;0;0
gb|AAC76733.1|ARO:3001215|mdtL;0;0;0;52;1;0
gb|NP_414996.1|ARO:3004043|Escherichia;0;0;0;63;0;0
gb|AHA41501.1|ARO:3002954|vanXO;0;1;0;0;0;0
gb|AMP35312.1|ARO:3002831|vgaC;0;0;0;1;0;0
gb|EFF04178.1|ARO:3000309|emrD;0;0;0;22;0;0
gb|NP_217362.1|ARO:3003955|efpA;1;2;0;0;0;0
gb|YP_490697.1|ARO:3000491|acrD;0;1;2;125;2;2
gb|CAA29819.1|ARO:3002877|BcI;0;0;2;0;0;0
gb|AAC43550.1|ARO:3003967|lrfA;0;3;2;1;0;0
gb|YP_008997285.1|ARO:3000615|mefA;1;0;0;0;0;0
gb|BAE78083.1|ARO:3003549|mdtO;0;0;0;108;1;1
gb|ABA28305.2|ARO:3000462|mgtA;0;1;0;0;0;0
gb|AAC75315.1|ARO:3002985|arnA;0;0;0;80;3;1
gb|NP_248848.1|ARO:3003681|TriC;0;0;1;0;0;0
gb|BAE77781.1|ARO:3000795|mdtE;0;0;0;66;2;0
gb|AAB58161.1|ARO:3003010|ceoB;0;1;0;7;0;1
gb|APB03215.1|ARO:3003981|tetB(48);1;0;3;0;0;0
gb|AAC75135.2|ARO:3000792|mdtA;0;0;0;40;0;1
gb|AAC76297.1|ARO:3000499|acrE;0;0;0;47;0;0
gb|YP_002743273.1|ARO:3000616|mel;0;0;4;0;0;0
gb|BAD59497.1|ARO:3000501|Nocardia;56;181;164;32;35;0
gb|NP_417169.1|ARO:3000516|emrR;0;0;0;18;1;0
gb|AAS13767.1|ARO:3003839|Mrx;0;0;1;0;0;0
gb|AAA65954.1|ARO:3002931|vanSA;0;1;0;0;0;0
gb|CAA77936.1|ARO:3004039|Escherichia;0;0;0;16;0;0
gb|YP_003971446|ARO:3003730|Bifidobacteria;102;4;39;0;0;0
gb|APB03222.1|ARO:3003992|rphB;1;2;11;1;0;0
gb|AAC75137.1|ARO:3000794|mdtC;1;0;0;70;2;0
gb|XP_753111.1|ARO:3003942|abcA;0;0;0;2;0;0
gb|AAN28721.1|ARO:3002871|tet37;3;0;6;0;0;0
gb|AAA22851.1|ARO:3000179|tet(L);0;0;0;0;3;0
gb|NP_415434.1|ARO:3003950|msbA;0;0;0;68;1;1
gb|AAA65953.1|ARO:3002919|vanRA;1;0;1;0;0;0
gb|NP_415632.1|ARO:3003844|mfd;1;0;0;109;2;0
gb|YP_491919.1|ARO:3000508|gadX;0;0;0;17;3;0
gb|AFU25632.1|ARO:3002087|CMY-74;0;0;0;1;0;0
gb|ABU39979.1|ARO:3000217|blaR1;0;2;0;0;0;0
gb|AAM09851.1|ARO:3002923|vanRD;2;0;2;0;0;0
gb|ACD35503.1|ARO:3000572|tet(42);0;1;1;0;0;0
gb|BAE77933.1|ARO:3000518|CRP;0;0;0;29;1;0
gb|ANK04473.1|ARO:3004055|Escherichia;1;0;0;20;0;0
gb|ACS83748.1|ARO:3000573|tet(43);0;5;5;0;0;0
gb|BAA16547.1|ARO:3000027|emrA;0;0;0;52;0;0
gb|NP_415222.1|ARO:3003841|kdpE;0;0;0;13;0;0
gb|AAC76296.1|ARO:3000656|acrS;0;0;0;16;1;0
gb|BAA15934.1|ARO:3000829|baeS;0;0;0;51;2;0
gb|AAC60781.1|ARO:3003048|rosA;0;0;0;1;0;0
gb|AAC75429.1|ARO:3000833|evgS;0;0;0;57;0;0
gb|CAD88477.1|ARO:3002026|CMY-15;0;0;0;1;0;0
gb|AAC74149.2|ARO:3001216|mdtH;0;0;0;28;1;0
gb|WP_011461303|ARO:3003728|vanRI;1;3;1;0;0;0
gb|CAH14033.1|ARO:3004100|LpeB;0;1;0;0;0;0
gb|NP_418813.1|ARO:3004109|Escherichia;0;0;0;57;2;0
gb|AAD01867.1|ARO:3002875|dfrE;1;2;2;21;9;0
gb|BAA34300.1|ARO:3003033|mexY;0;0;0;1;0;0
gb|CAA67349.1|ARO:3003359|Streptomyces;83;138;141;86;68;9
gb|AAO47226.2|ARO:3003318|Streptomyces;2;14;14;3;2;0
gb|AAF86641.1|ARO:3002922|vanRC;1;0;0;0;0;0
gb|AAV85982.1|ARO:3000535|macB;0;1;2;1;1;0
gb|ACN32294.1|ARO:3000237|tolC;0;0;0;72;0;0
gb|AAD51345.1|ARO:3003052|smeB;0;0;0;1;0;0
gb|NP_414995.1|ARO:3000216|acrB;0;0;1;142;3;0
gb|APB03219.1|ARO:3003986|TaeA;0;0;3;0;0;0
gb|AHA41505.1|ARO:3002930|vanRO;1;9;2;0;0;0
gb|AAC75733.1|ARO:3000074|emrB;0;0;1;60;1;0
gb|NP_416715.1|ARO:3003952|yojI;0;0;0;36;0;0
gb|BAE06006.1|ARO:3003705|mexN;0;1;0;0;0;0
gb|ABG77965.1|ARO:3004042|Enterobacter;0;0;0;0;1;0
gb|AIT76098.1|ARO:3002130|CMY-119;0;0;0;1;0;0
gb|YP_489794.1|ARO:3000263|marA;0;0;0;12;1;0
gb|BAE78084.1|ARO:3003548|mdtN;0;0;0;14;1;0
gb|NP_311275.1|ARO:3000832|evgA;0;0;0;6;0;0
gb|ANK04027.1|ARO:3003838|gadW;0;0;0;28;0;0
gb|CAB14620.1|ARO:3002627|aadK;0;0;1;0;0;0
gb|AAC60780.1|ARO:3003049|rosB;0;1;0;6;1;0
gb|CCP46065.1|ARO:3000816|mtrA;2;8;25;1;0;0
gb|AAC75314.1|ARO:3003578|pmrF;0;0;0;32;2;0
