Taxa	Metaxa2/H1	Metaxa2/H2	Metaxa2/H3	Metaxa2/L2	Metaxa2/L3	Metaxa2/L4
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Unclassified Halobacteriaceae	0	0	0	1	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium	0	0	1	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella	4	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus	1	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Unclassified Methanomicrobiales;	1	0	0	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina	4	0	5	0	0	0
Archaea;Euryarchaeota;Methanomicrobia;Unclassified Methanomicrobia;;	0	0	1	0	0	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Methanomassiliicoccus;Methanomassiliicoccus	1	0	1	0	0	0
Archaea;Euryarchaeota;Unclassified Euryarchaeota;;;	1	0	0	0	0	0
Archaea;Thaumarchaeota;Unclassified Thaumarchaeota;;;	1	0	0	0	0	0
Archaea;Unclassified Archaea;;;;	2	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;11-24;Acidobacteria bacterium Ellin7246;Unclassified Acidobacteria bacterium Ellin7246	2	0	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter	1	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Terriglobus	1	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Unclassified Acidobacteriaceae	2	2	2	0	1	13
Bacteria;Acidobacteria;Acidobacteria;Candidatus Chloracidobacterium;Acidobacteriaceae bacterium Gsoil 1619;Unclassified Acidobacteriaceae bacterium Gsoil 1619	0	0	0	1	0	0
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Bryobacter	0	0	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;RB41;Acidobacteriaceae bacterium K22;Unclassified Acidobacteriaceae bacterium K22	1	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;;	3	0	2	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium	2	0	1	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;CL500-29 marine group	0	0	5	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix	1	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter	1	0	1	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Unclassified Acidimicrobiaceae	2	0	1	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia	5	0	6	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;Aciditerrimonas	0	0	1	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;Unclassified TM214	0	0	1	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;actinobacterium	0	0	1	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales;	13	3	9	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Unclassified Actinomycetaceae	0	1	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum	0	2	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	223	677	4	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Unclassified Bifidobacteriaceae	10	30	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora	1	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium	1	1	1	1	1	6
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Amycolicicoccus	2	1	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	125	19	55	0	0	17
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Unclassified Mycobacteriaceae	1	0	0	0	0	4
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia	1	4	2	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	1	1	6	3	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	102	15	221	0	0	4
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Unclassified Nocardiaceae	60	10	45	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia	31	10	20	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Unclassified Corynebacteriales;	39	5	35	0	0	4
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae;Unclassified Cryptosporangiaceae	1	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia	17	5	13	0	1	2
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus	6	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus	2	1	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter	4	0	5	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae;Unclassified Geodermatophilaceae	12	8	19	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Humicoccus	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella	2	0	5	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Saxeibacter	12	1	15	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae;Unclassified Nakamurellaceae	10	1	15	0	2	12
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Unclassified Frankiales;	9	1	5	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	23	7	53	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia	2	2	2	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Pseudokineococcus	0	0	2	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera	0	0	5	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Unclassified Kineosporiaceae	6	0	16	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;bacterium Ellin5024	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Unclassified Kineosporiales;	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Beutenbergiaceae;Unclassified Beutenbergiaceae	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea	0	0	10	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	5	1	14	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Unclassified Cellulomonadaceae	3	0	18	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Demetria	0	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus	0	0	1	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Kytococcus	0	0	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Luteipulveratus	0	0	0	0	0	7
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Unclassified Dermacoccaceae	2	1	1	0	2	16
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae;Dermatophilus	0	0	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Fodinibacter	2	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Humibacillus	1	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter	1	1	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Knoellia	11	1	4	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus	3	0	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium	1	0	1	0	0	0
