#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Streptococcus agalactiae 2603V/R	2603V/R	20122	SAMN02604013 	PRJNA330	Terrabacteria group	Firmicutes	GCA_000007265.1 	2.16027	35.6	chromosome:NC_004116.1/AE009948.1	-	1	2279	2127	2002/08/28	2016/08/03	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/265/GCF_000007265.1_ASM726v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/265/GCA_000007265.1_ASM726v1
Streptococcus agalactiae A909	A909	20122	SAMN02604011 	PRJNA326	Terrabacteria group	Firmicutes	GCA_000012705.1 	2.12784	35.6	chromosome:NC_007432.1/CP000114.1	-	1	2207	2040	2005/09/29	2017/03/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/705/GCF_000012705.1_ASM1270v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/705/GCA_000012705.1_ASM1270v1
Streptococcus agalactiae NEM316	NEM316	20122	SAMEA3138330 	PRJNA334	Terrabacteria group	Firmicutes	GCA_000196055.1 	2.21149	35.6	chromosome:NC_004368.1/AL732656.1	-	1	2273	2127	2002/11/07	2017/03/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/055/GCF_000196055.1_ASM19605v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/055/GCA_000196055.1_ASM19605v1
Streptococcus agalactiae GD201008-001	GD201008-001	20122	SAMN02603155 	PRJNA169338	Terrabacteria group	Firmicutes	GCA_000299135.1 	2.06311	35.6	chromosome:NC_018646.1/CP003810.1	-	1	2122	1967	2012/09/24	2017/03/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/135/GCF_000299135.1_ASM29913v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/135/GCA_000299135.1_ASM29913v1
Streptococcus agalactiae	SA20	20122	SAMN02603506 	PRJNA174852	Terrabacteria group	Firmicutes	GCA_000302475.3 	1.84195	35.5	chromosome:CP003919.2	-	1	1912	1679	2012/11/02	2017/03/09	Complete Genome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/475/GCA_000302475.3_ASM30247v3
Streptococcus agalactiae 09mas018883	09mas018883	20122	SAMEA2272272 	PRJEB1693	Terrabacteria group	Firmicutes	GCA_000427035.1 	2.13869	35.5	chromosome I:NC_021485.1/HF952104.1	-	1	2225	2066	2013/05/28	2017/03/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/035/GCF_000427035.1_09mas018883	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/035/GCA_000427035.1_09mas018883
Streptococcus agalactiae ILRI005	ILRI005	20122	SAMEA2272371 	PRJEB1694	Terrabacteria group	Firmicutes	GCA_000427075.1 	2.10976	35.4	chromosome I:NC_021486.1/HF952105.1	-	1	2214	1998	2013/05/28	2017/03/15	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/075/GCF_000427075.1_ILRI005	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/075/GCA_000427075.1_ILRI005
Streptococcus agalactiae COH1	COH1	20122	SAMEA3139000 	PRJEB5232	Terrabacteria group	Firmicutes	GCA_000689235.1 	2.06507	35.4	chromosome I:NZ_HG939456.1/HG939456.1	-	1	2123	1939	2014/04/06	2017/03/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/235/GCF_000689235.1_GBCO_p1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/235/GCA_000689235.1_GBCO_p1
Streptococcus agalactiae	NGBS061	20122	SAMN02741687 	PRJNA246096	Terrabacteria group	Firmicutes	GCA_000730215.2 	2.22121	35.5	chromosome:NZ_CP007631.1/CP007631.2	-	1	2314	2138	2014/07/17	2017/03/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/215/GCF_000730215.1_ASM73021v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/215/GCA_000730215.2_ASM73021v2
Streptococcus agalactiae	NGBS572	20122	SAMN02741688 	PRJNA246096	Terrabacteria group	Firmicutes	GCA_000730255.1 	2.06143	35.5	chromosome:NZ_CP007632.1/CP007632.1	-	1	2127	1967	2014/07/17	2017/03/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/255/GCF_000730255.1_ASM73025v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/255/GCA_000730255.1_ASM73025v1
